State,Crop,Soil_Type,Temperature,Humidity,Rainfall,Soil_Moisture,Water_Required
TamilNadu,Maize,Clay,26.76,69.69,9.63,42.45,12.5
Punjab,Wheat,Clay,31.22,70.43,70.87,17.72,24.91
TamilNadu,Wheat,Silty,26.69,48.03,5.72,38.23,12.93
Haryana,Rice,Clay,38.58,48.95,42.89,58.82,16.1
Gujarat,Wheat,Peaty,38.03,64.29,7.89,24.75,19.25
Haryana,Wheat,Peaty,27.67,64.75,69.41,12.05,24.83
Haryana,Sugarcane,Loamy,36.93,48.6,71.4,37.44,22.73
UttarPradesh,Rice,Clay,31.52,70.48,69.26,35.24,21.33
Gujarat,Pulses,Peaty,21.46,49.85,17.18,56.79,8.8
Haryana,Groundnut,Silty,34.21,61.95,88.13,47.47,21.58
Bihar,Sugarcane,Clay,20.72,46.0,40.99,30.73,16.17
Bihar,Pulses,Clay,35.46,79.84,88.24,28.55,25.75
MadhyaPradesh,Maize,Loamy,22.56,62.95,33.99,27.87,16.59
Karnataka,Wheat,Silty,21.26,40.51,45.3,56.12,11.68
Gujarat,Sugarcane,Silty,27.97,33.05,86.24,34.86,22.04
Punjab,Cotton,Clay,32.62,79.58,97.86,59.18,19.74
Punjab,Maize,Silty,21.13,30.2,23.96,21.36,16.46
Bihar,Wheat,Loamy,37.26,72.67,14.2,42.24,16.15
UttarPradesh,Pulses,Loamy,29.84,30.43,44.4,26.74,20.04
Telangana,Pulses,Silty,26.82,52.02,93.44,28.2,23.75
Haryana,Wheat,Clay,38.61,77.84,38.38,19.86,23.45
Telangana,Wheat,Peaty,39.37,63.6,50.61,26.75,23.52
Telangana,Groundnut,Loamy,28.62,45.74,26.28,17.65,19.68
MadhyaPradesh,Wheat,Loamy,38.5,82.47,31.84,50.92,16.55
Karnataka,Rice,Clay,25.69,48.96,45.75,19.9,20.3
Telangana,Pulses,Loamy,24.48,49.41,85.55,20.49,23.8
Gujarat,Pulses,Silty,36.11,73.72,84.51,53.19,20.65
AndhraPradesh,Cotton,Peaty,29.67,43.99,91.57,36.69,22.72
Maharashtra,Rice,Peaty,25.82,32.62,31.78,34.8,15.96
Bihar,Cotton,Loamy,20.93,64.26,8.24,53.91,8.32
TamilNadu,Rice,Peaty,35.28,76.26,22.85,11.14,22.64
Bihar,Sugarcane,Clay,23.77,48.35,29.31,25.1,17.04
Bihar,Groundnut,Peaty,31.23,89.33,47.56,37.23,18.68
MadhyaPradesh,Sugarcane,Peaty,28.14,80.0,51.29,41.49,17.27
Bihar,Rice,Clay,25.81,87.98,10.83,29.03,15.02
Karnataka,Rice,Sandy,22.87,66.49,36.64,32.14,16.1
Punjab,Pulses,Sandy,27.42,41.67,39.63,48.02,14.59
Karnataka,Pulses,Silty,24.92,65.53,34.95,58.06,11.36
AndhraPradesh,Cotton,Sandy,20.63,35.65,55.3,12.59,21.2
AndhraPradesh,Pulses,Sandy,32.14,63.79,28.91,36.33,17.27
TamilNadu,Rice,Peaty,29.86,42.92,87.68,15.52,26.62
Telangana,Rice,Loamy,26.96,56.93,83.55,28.84,22.67
Maharashtra,Pulses,Sandy,23.43,40.06,52.57,13.65,21.56
Telangana,Rice,Loamy,33.14,46.59,36.84,34.36,18.75
Gujarat,Sugarcane,Loamy,28.03,71.2,22.32,31.9,16.26
Rajasthan,Sugarcane,Silty,35.45,86.82,25.41,59.56,13.26
AndhraPradesh,Sugarcane,Loamy,20.28,56.49,43.39,53.2,11.78
Rajasthan,Wheat,Peaty,37.68,78.73,8.58,10.12,22.14
MadhyaPradesh,Cotton,Sandy,27.71,47.95,85.32,25.06,23.83
Maharashtra,Cotton,Peaty,25.86,74.22,29.6,39.67,14.78
UttarPradesh,Rice,Peaty,31.86,56.01,78.79,30.44,23.35
TamilNadu,Cotton,Sandy,38.44,88.16,14.13,55.19,13.91
Karnataka,Rice,Silty,36.68,69.51,40.38,50.75,16.89
Rajasthan,Wheat,Peaty,26.59,80.39,14.44,27.37,15.95
MadhyaPradesh,Groundnut,Loamy,39.02,87.51,16.62,52.11,14.95
Rajasthan,Rice,Sandy,22.11,85.76,83.62,12.51,24.49
Gujarat,Cotton,Clay,33.66,42.88,66.85,50.19,18.74
AndhraPradesh,Maize,Peaty,22.15,63.58,84.59,14.17,24.27
Gujarat,Wheat,Silty,21.42,56.66,73.2,12.48,23.25
Haryana,Groundnut,Clay,28.47,47.07,80.01,53.5,17.84
Gujarat,Rice,Loamy,24.63,56.39,50.85,23.61,19.75
Bihar,Groundnut,Loamy,21.54,69.3,32.49,55.44,10.62
Punjab,Groundnut,Peaty,34.35,65.53,55.73,56.24,16.63
Telangana,Maize,Clay,33.06,66.04,10.49,58.11,11.35
Haryana,Groundnut,Loamy,23.17,68.4,70.91,52.04,15.63
Karnataka,Rice,Loamy,25.9,65.41,42.61,31.44,17.74
Punjab,Pulses,Silty,32.44,75.23,76.02,20.0,25.33
Haryana,Rice,Silty,26.04,45.21,69.01,44.0,17.91
Telangana,Sugarcane,Loamy,31.22,54.98,56.17,47.38,17.51
Rajasthan,Rice,Clay,33.81,55.79,66.84,59.66,16.9
Punjab,Groundnut,Peaty,39.22,57.39,24.88,33.87,19.48
Rajasthan,Sugarcane,Sandy,26.65,63.91,47.99,23.6,20.07
Karnataka,Wheat,Silty,32.31,65.64,14.84,32.99,16.58
MadhyaPradesh,Pulses,Silty,39.57,74.73,81.27,23.85,27.23
Gujarat,Sugarcane,Sandy,34.55,37.75,31.62,44.43,16.64
Punjab,Pulses,Loamy,20.31,74.94,40.63,38.04,14.55
Maharashtra,Rice,Clay,25.46,41.61,20.52,29.12,15.87
Telangana,Wheat,Peaty,34.91,32.88,98.66,53.24,21.69
TamilNadu,Groundnut,Sandy,37.71,63.01,57.22,33.9,22.26
Gujarat,Pulses,Clay,25.22,77.57,45.11,42.09,15.66
MadhyaPradesh,Rice,Clay,28.27,64.15,68.68,11.27,25.1
Maharashtra,Maize,Silty,28.33,31.72,79.08,17.61,24.88
Gujarat,Pulses,Clay,36.84,58.72,73.27,27.16,24.95
Haryana,Pulses,Loamy,32.07,73.1,80.29,10.05,27.64
TamilNadu,Groundnut,Sandy,20.15,83.59,97.92,58.17,16.2
Punjab,Wheat,Silty,26.14,87.01,27.49,10.0,20.59
TamilNadu,Pulses,Silty,28.4,55.04,93.52,33.05,23.26
Punjab,Cotton,Silty,20.57,65.37,44.81,25.14,17.62
Rajasthan,Maize,Silty,23.08,31.51,24.73,48.71,11.66
AndhraPradesh,Sugarcane,Clay,31.87,73.22,51.25,47.72,17.14
Bihar,Rice,Sandy,37.36,73.75,16.36,23.84,20.08
UttarPradesh,Sugarcane,Loamy,22.46,73.49,73.4,19.36,22.21
TamilNadu,Wheat,Peaty,24.4,78.07,22.22,56.34,10.27
UttarPradesh,Sugarcane,Clay,31.07,82.41,26.41,31.61,17.64
Rajasthan,Pulses,Loamy,30.74,80.15,52.6,16.02,23.28
AndhraPradesh,Maize,Clay,23.23,87.0,36.93,43.89,13.88
Gujarat,Maize,Clay,20.82,48.5,90.28,12.48,24.78
AndhraPradesh,Cotton,Silty,26.26,82.85,25.5,34.03,15.62
Rajasthan,Sugarcane,Silty,36.96,73.88,19.08,40.32,16.93
Maharashtra,Wheat,Loamy,32.02,66.07,40.59,50.43,15.58
Haryana,Rice,Loamy,22.88,51.91,18.04,53.81,9.91
Telangana,Sugarcane,Clay,28.9,33.8,92.18,40.55,21.78
Karnataka,Wheat,Clay,36.78,34.11,6.8,57.44,12.23
Rajasthan,Groundnut,Clay,29.57,37.82,98.93,14.34,27.9
Maharashtra,Groundnut,Peaty,32.22,52.22,84.7,41.38,21.86
TamilNadu,Maize,Clay,25.97,59.78,12.78,12.77,18.52
Haryana,Cotton,Peaty,36.41,86.2,37.42,58.51,14.96
MadhyaPradesh,Cotton,Clay,37.7,77.62,33.24,42.37,18.16
UttarPradesh,Groundnut,Clay,24.34,59.74,27.74,51.46,11.78
Punjab,Maize,Peaty,30.51,45.3,14.01,43.39,13.88
Haryana,Cotton,Clay,23.29,36.88,50.68,22.69,19.52
UttarPradesh,Rice,Sandy,31.63,73.51,84.18,39.5,22.01
Maharashtra,Wheat,Peaty,27.22,83.35,32.98,35.48,16.37
Haryana,Sugarcane,Clay,37.35,57.85,34.78,19.63,22.76
Karnataka,Groundnut,Loamy,26.47,89.15,43.14,21.42,19.97
MadhyaPradesh,Maize,Peaty,32.07,85.51,26.12,51.48,13.94
Punjab,Groundnut,Silty,36.67,85.07,10.84,14.97,21.09
UttarPradesh,Pulses,Sandy,25.34,60.53,93.34,54.41,18.05
UttarPradesh,Pulses,Loamy,29.76,53.29,62.02,19.41,23.25
Rajasthan,Rice,Silty,20.28,37.14,82.06,22.43,21.8
MadhyaPradesh,Sugarcane,Clay,28.89,44.17,79.25,41.82,20.23
AndhraPradesh,Maize,Peaty,38.0,77.14,7.91,58.57,12.48
TamilNadu,Rice,Loamy,35.29,76.83,15.86,14.39,21.3
Maharashtra,Rice,Sandy,34.18,66.06,39.42,31.5,19.9
Bihar,Rice,Sandy,33.28,57.82,45.06,10.06,24.48
Punjab,Groundnut,Peaty,27.56,69.32,77.99,44.11,19.25
Gujarat,Pulses,Silty,33.69,86.53,20.89,47.75,14.65
Maharashtra,Pulses,Clay,35.35,55.41,26.47,22.62,20.73
AndhraPradesh,Groundnut,Loamy,38.91,84.23,81.79,14.03,29.05
Punjab,Rice,Clay,31.79,41.44,85.89,37.44,22.64
Haryana,Cotton,Loamy,21.79,51.98,69.55,47.31,16.03
TamilNadu,Maize,Peaty,27.53,87.16,72.96,25.19,22.52
Telangana,Sugarcane,Silty,37.45,63.43,73.4,18.85,26.81
TamilNadu,Cotton,Clay,35.68,59.79,99.35,58.57,20.93
Punjab,Cotton,Clay,32.21,30.88,83.25,21.53,25.68
AndhraPradesh,Wheat,Silty,39.35,32.94,30.51,42.44,18.37
Karnataka,Sugarcane,Silty,25.47,55.66,45.93,38.48,16.54
Gujarat,Sugarcane,Peaty,23.36,88.97,24.12,12.28,18.96
MadhyaPradesh,Maize,Silty,24.34,87.65,20.64,11.81,19.0
Maharashtra,Wheat,Clay,25.08,62.84,31.24,58.66,10.92
Bihar,Rice,Loamy,26.16,61.48,34.43,32.18,16.86
Rajasthan,Groundnut,Sandy,36.2,35.14,18.69,40.51,16.63
Bihar,Maize,Clay,35.98,67.98,35.59,11.51,24.05
Karnataka,Sugarcane,Clay,27.07,76.75,97.01,29.53,23.92
Bihar,Maize,Loamy,39.84,42.13,49.84,48.73,19.19
Telangana,Rice,Clay,30.77,51.86,64.18,48.89,17.87
Haryana,Wheat,Silty,32.3,85.59,87.26,47.41,20.93
MadhyaPradesh,Groundnut,Loamy,36.42,77.0,78.45,53.56,20.06
TamilNadu,Rice,Clay,24.63,80.06,88.35,43.57,19.51
Karnataka,Sugarcane,Silty,24.57,88.69,28.66,16.52,18.93
Rajasthan,Cotton,Silty,30.97,45.76,28.05,42.73,15.55
TamilNadu,Cotton,Loamy,26.85,56.6,15.91,14.18,18.81
MadhyaPradesh,Groundnut,Clay,37.65,53.87,86.51,36.01,24.74
Maharashtra,Rice,Sandy,35.49,74.46,83.11,44.62,22.03
Maharashtra,Sugarcane,Clay,22.65,60.77,91.83,16.77,24.62
Karnataka,Pulses,Loamy,37.46,30.37,39.69,48.53,17.5
Maharashtra,Wheat,Clay,37.93,68.58,83.16,32.53,25.19
Telangana,Groundnut,Silty,38.23,78.05,55.11,17.98,25.38
Gujarat,Wheat,Sandy,35.15,78.36,20.62,35.26,17.55
MadhyaPradesh,Groundnut,Loamy,31.87,69.7,78.98,37.34,21.99
Telangana,Rice,Loamy,28.94,69.59,6.31,43.5,12.61
Rajasthan,Sugarcane,Loamy,35.25,55.47,74.64,33.68,23.3
TamilNadu,Maize,Sandy,28.83,32.29,65.72,51.1,17.0
Maharashtra,Cotton,Peaty,28.06,59.75,49.4,18.58,21.64
UttarPradesh,Maize,Peaty,29.85,54.73,71.76,33.99,21.33
Punjab,Pulses,Sandy,30.08,40.6,36.69,51.8,14.33
TamilNadu,Wheat,Peaty,27.28,66.25,77.28,26.95,22.52
Punjab,Groundnut,Sandy,32.33,63.06,41.28,54.64,14.9
Karnataka,Sugarcane,Silty,38.8,61.2,47.52,32.64,21.86
Bihar,Pulses,Peaty,21.38,72.4,17.84,56.07,8.98
AndhraPradesh,Cotton,Sandy,38.48,41.51,69.22,41.98,22.07
TamilNadu,Cotton,Clay,31.28,64.97,60.94,23.14,22.85
Telangana,Pulses,Peaty,28.75,82.93,76.65,48.46,18.6
Haryana,Pulses,Clay,30.66,75.98,66.26,33.33,21.16
Karnataka,Rice,Peaty,32.86,41.76,78.4,52.0,19.3
MadhyaPradesh,Maize,Sandy,21.5,84.95,88.77,16.93,23.94
Bihar,Maize,Silty,37.67,74.09,84.05,36.73,24.36
Haryana,Cotton,Silty,28.25,87.06,27.6,20.88,19.06
Haryana,Groundnut,Peaty,27.95,84.09,95.71,11.64,27.63
Karnataka,Maize,Clay,38.7,84.27,97.91,57.01,22.0
AndhraPradesh,Wheat,Loamy,32.4,65.31,65.48,25.24,23.22
AndhraPradesh,Groundnut,Sandy,31.58,31.4,21.57,32.08,17.21
Karnataka,Rice,Loamy,32.68,80.2,93.01,13.18,28.47
MadhyaPradesh,Sugarcane,Peaty,39.75,76.89,69.41,39.76,22.91
Gujarat,Cotton,Sandy,33.78,54.04,24.69,20.58,20.49
Rajasthan,Maize,Loamy,23.94,38.51,25.51,33.95,14.94
UttarPradesh,Groundnut,Peaty,31.18,65.02,59.78,11.97,24.94
Bihar,Pulses,Sandy,25.81,46.43,45.14,55.45,13.17
Gujarat,Groundnut,Silty,32.19,62.6,67.04,24.26,23.51
Karnataka,Groundnut,Sandy,36.72,64.78,31.2,32.57,19.62
Punjab,Wheat,Sandy,30.94,74.27,20.04,49.76,13.33
UttarPradesh,Groundnut,Clay,39.79,49.82,71.34,33.73,24.32
Bihar,Groundnut,Sandy,38.79,88.26,57.26,45.97,20.17
Bihar,Sugarcane,Silty,24.08,62.85,21.31,48.41,11.67
Maharashtra,Sugarcane,Clay,28.41,67.4,81.97,56.43,17.43
Haryana,Pulses,Silty,37.95,69.75,65.49,27.47,24.44
Rajasthan,Pulses,Clay,26.52,78.38,91.96,40.06,21.14
Telangana,Groundnut,Sandy,34.21,65.4,79.54,39.03,22.41
TamilNadu,Cotton,Sandy,23.57,31.07,8.39,54.23,9.06
TamilNadu,Rice,Loamy,28.79,88.83,6.32,36.43,13.98
AndhraPradesh,Groundnut,Peaty,29.59,40.53,23.38,15.56,20.1
UttarPradesh,Maize,Clay,35.69,88.6,42.28,48.14,17.31
AndhraPradesh,Maize,Peaty,32.58,67.21,37.79,20.79,21.39
Maharashtra,Pulses,Loamy,32.95,85.41,90.95,20.73,26.83
Haryana,Cotton,Sandy,22.15,49.44,95.69,48.23,18.57
Rajasthan,Cotton,Loamy,37.28,86.19,18.26,47.18,15.57
AndhraPradesh,Sugarcane,Peaty,22.05,39.89,23.78,56.67,9.66
Punjab,Wheat,Silty,22.8,36.78,52.68,17.53,20.6
UttarPradesh,Groundnut,Clay,27.8,59.92,17.45,14.45,19.2
MadhyaPradesh,Pulses,Sandy,26.85,43.31,62.87,19.08,22.53
Rajasthan,Wheat,Silty,31.41,86.61,77.9,17.64,25.69
TamilNadu,Cotton,Clay,26.59,62.71,31.77,52.73,12.61
AndhraPradesh,Maize,Loamy,27.07,57.94,53.32,16.3,22.19
Gujarat,Groundnut,Peaty,39.09,65.37,22.91,33.61,19.3
TamilNadu,Pulses,Silty,35.79,41.9,51.83,12.97,25.33
Punjab,Sugarcane,Silty,20.28,37.77,33.63,32.23,15.0
Punjab,Maize,Sandy,35.01,57.99,98.44,11.17,30.11
Rajasthan,Maize,Clay,22.25,65.71,30.31,26.99,16.31
Punjab,Wheat,Loamy,29.76,60.75,78.7,24.52,23.89
TamilNadu,Cotton,Peaty,35.67,73.21,68.56,56.48,18.26
UttarPradesh,Rice,Silty,37.87,42.17,70.87,27.52,24.94
TamilNadu,Pulses,Loamy,34.69,32.37,34.72,24.29,21.02
Maharashtra,Cotton,Silty,27.21,84.31,35.2,31.5,17.38
Gujarat,Maize,Loamy,36.49,56.4,24.78,37.5,17.93
UttarPradesh,Maize,Silty,35.89,82.78,52.11,50.75,17.83
Gujarat,Groundnut,Loamy,32.3,56.25,82.85,50.41,19.89
Rajasthan,Rice,Sandy,35.21,33.4,82.81,30.19,24.81
Maharashtra,Groundnut,Clay,38.47,82.53,54.64,34.43,22.12
Maharashtra,Rice,Loamy,32.51,30.05,93.0,35.32,23.99
Haryana,Pulses,Clay,33.04,83.21,87.73,28.24,25.04
Rajasthan,Rice,Silty,38.29,50.28,22.01,11.89,23.31
Maharashtra,Groundnut,Loamy,32.42,89.15,54.54,37.64,19.65
Telangana,Pulses,Clay,38.13,69.54,52.12,14.39,25.77
MadhyaPradesh,Wheat,Sandy,37.61,68.01,73.28,22.47,26.12
Punjab,Sugarcane,Clay,36.3,78.43,85.19,46.64,22.08
AndhraPradesh,Wheat,Peaty,32.54,61.04,57.59,23.39,22.84
Punjab,Maize,Loamy,32.09,60.75,86.52,31.56,23.97
UttarPradesh,Cotton,Clay,33.57,82.0,14.59,24.76,18.58
Gujarat,Wheat,Silty,26.38,84.98,34.62,46.66,14.04
Punjab,Pulses,Peaty,32.94,89.96,10.38,53.42,12.24
Rajasthan,Sugarcane,Sandy,22.06,76.71,96.35,51.6,17.93
UttarPradesh,Rice,Loamy,22.64,65.09,65.89,53.55,14.67
Haryana,Wheat,Loamy,36.75,49.72,62.26,20.05,25.24
Karnataka,Pulses,Silty,24.08,76.31,94.95,13.96,25.93
Gujarat,Maize,Clay,28.16,33.41,46.73,50.32,15.06
UttarPradesh,Sugarcane,Sandy,26.86,36.16,5.4,23.8,15.84
Punjab,Cotton,Silty,20.9,72.52,21.25,49.57,10.48
TamilNadu,Maize,Silty,24.93,42.3,69.23,21.05,22.19
UttarPradesh,Sugarcane,Loamy,21.91,41.28,74.7,39.49,18.14
MadhyaPradesh,Maize,Sandy,38.1,65.08,23.7,10.73,23.65
Punjab,Rice,Loamy,28.0,51.41,16.7,46.0,12.87
AndhraPradesh,Groundnut,Peaty,22.1,55.67,44.7,45.6,13.98
Punjab,Pulses,Loamy,39.65,56.16,13.47,43.54,16.53
Maharashtra,Pulses,Loamy,20.53,62.54,99.38,44.17,19.26
TamilNadu,Sugarcane,Clay,32.99,88.92,48.76,40.5,18.67
MadhyaPradesh,Wheat,Silty,25.67,47.53,61.92,39.57,17.98
Bihar,Wheat,Loamy,25.47,80.68,87.99,16.83,25.07
MadhyaPradesh,Rice,Sandy,34.14,40.61,63.9,38.87,20.86
UttarPradesh,Rice,Clay,31.79,50.11,23.89,15.23,20.88
MadhyaPradesh,Groundnut,Clay,33.5,82.7,41.8,59.76,14.28
MadhyaPradesh,Rice,Loamy,31.85,79.69,80.51,30.88,23.43
Maharashtra,Groundnut,Silty,37.46,89.96,16.37,19.31,21.01
Karnataka,Sugarcane,Silty,24.02,63.77,18.1,31.38,14.74
TamilNadu,Groundnut,Clay,20.27,63.22,69.86,49.67,15.13
Rajasthan,Pulses,Clay,25.71,61.89,34.19,44.93,14.15
UttarPradesh,Cotton,Silty,34.38,72.9,88.17,31.96,24.74
Rajasthan,Rice,Silty,27.48,47.71,63.65,51.82,16.25
Haryana,Wheat,Sandy,20.41,51.63,55.24,38.71,15.91
Karnataka,Maize,Sandy,20.38,59.41,48.29,54.14,12.12
MadhyaPradesh,Rice,Loamy,36.82,67.5,82.76,31.91,24.94
UttarPradesh,Groundnut,Silty,34.71,46.07,81.62,52.02,20.17
MadhyaPradesh,Maize,Silty,37.29,75.65,69.84,39.3,22.31
Gujarat,Wheat,Clay,21.44,74.56,82.88,28.8,20.96
Telangana,Groundnut,Clay,22.74,87.23,98.71,53.36,18.02
AndhraPradesh,Maize,Loamy,30.18,78.88,46.16,18.22,22.03
Punjab,Maize,Peaty,37.09,81.37,72.28,41.62,22.03
MadhyaPradesh,Groundnut,Silty,22.11,53.59,19.72,48.15,10.98
MadhyaPradesh,Groundnut,Silty,31.53,61.79,55.9,26.36,21.78
MadhyaPradesh,Maize,Peaty,21.15,53.82,50.15,41.91,14.98
Punjab,Groundnut,Sandy,39.14,39.22,16.29,53.3,14.71
Bihar,Maize,Clay,37.85,66.08,17.04,13.4,22.38
MadhyaPradesh,Sugarcane,Loamy,29.12,33.81,93.14,18.85,26.28
Gujarat,Groundnut,Clay,27.53,81.79,50.16,16.17,22.04
Haryana,Wheat,Clay,21.92,82.12,50.01,37.39,16.1
Punjab,Maize,Sandy,21.91,63.92,33.42,39.0,14.11
Maharashtra,Cotton,Peaty,35.41,53.03,69.53,41.09,21.36
UttarPradesh,Cotton,Clay,38.15,35.56,61.41,48.22,19.94
Karnataka,Cotton,Clay,30.84,33.75,90.23,52.87,19.7
Telangana,Pulses,Peaty,39.75,76.71,67.57,26.05,25.47
UttarPradesh,Pulses,Silty,25.1,88.94,71.61,33.86,19.92
UttarPradesh,Maize,Loamy,32.76,63.68,73.29,34.01,22.36
Maharashtra,Cotton,Peaty,31.5,40.7,25.33,12.21,21.54
Rajasthan,Groundnut,Loamy,40.0,30.26,97.71,24.29,28.91
Karnataka,Sugarcane,Silty,33.54,83.39,87.22,22.59,26.27
Punjab,Cotton,Clay,28.3,67.15,60.73,21.48,22.27
Gujarat,Groundnut,Clay,25.97,84.05,71.35,30.34,20.86
AndhraPradesh,Groundnut,Sandy,26.58,60.59,97.31,52.01,19.3
MadhyaPradesh,Rice,Peaty,28.99,66.41,33.77,14.44,21.19
Bihar,Sugarcane,Silty,32.82,77.94,77.38,12.75,27.03
Rajasthan,Sugarcane,Clay,36.78,56.01,55.38,47.74,19.02
Maharashtra,Rice,Peaty,24.41,79.33,88.5,52.33,17.71
Karnataka,Wheat,Silty,34.0,69.45,91.69,31.44,25.08
MadhyaPradesh,Sugarcane,Peaty,21.89,49.59,39.64,46.26,13.28
Haryana,Sugarcane,Silty,26.5,79.63,16.61,36.47,14.32
AndhraPradesh,Cotton,Peaty,23.39,68.31,50.47,58.38,12.39
UttarPradesh,Wheat,Clay,23.9,36.33,94.06,37.3,21.12
MadhyaPradesh,Cotton,Loamy,30.6,76.96,26.23,34.18,16.97
UttarPradesh,Rice,Loamy,36.02,49.85,25.16,38.29,17.66
Telangana,Wheat,Silty,21.58,40.94,79.78,19.13,22.63
Haryana,Sugarcane,Loamy,24.4,35.71,28.21,10.57,20.03
Rajasthan,Sugarcane,Silty,24.33,42.1,7.53,59.35,8.18
Punjab,Groundnut,Clay,23.4,72.64,76.46,57.78,15.11
Telangana,Rice,Sandy,27.81,65.48,21.24,44.56,13.55
Haryana,Maize,Clay,27.01,85.51,72.35,24.14,22.51
Maharashtra,Wheat,Loamy,36.91,40.33,45.77,35.34,20.58
MadhyaPradesh,Wheat,Sandy,30.77,69.98,69.24,57.69,16.62
Haryana,Wheat,Peaty,31.85,40.96,59.61,29.11,21.69
Maharashtra,Sugarcane,Clay,32.36,32.73,7.05,37.76,14.86
Rajasthan,Rice,Peaty,35.57,49.38,5.72,32.39,16.77
Maharashtra,Pulses,Peaty,29.4,40.53,28.15,21.49,19.34
Maharashtra,Wheat,Peaty,24.25,38.92,95.26,55.03,17.8
Bihar,Sugarcane,Silty,30.68,77.04,87.84,18.37,26.31
Punjab,Rice,Silty,28.42,60.47,53.1,44.57,16.92
Gujarat,Maize,Sandy,27.07,39.28,46.31,22.3,20.29
MadhyaPradesh,Cotton,Peaty,33.67,69.5,22.44,30.3,18.29
Bihar,Pulses,Clay,20.89,56.81,49.34,40.39,15.12
Rajasthan,Cotton,Loamy,35.59,40.93,67.11,25.91,24.21
Maharashtra,Cotton,Clay,22.7,60.6,54.69,17.4,20.8
Karnataka,Groundnut,Sandy,31.02,68.15,8.79,40.92,14.0
Karnataka,Sugarcane,Loamy,32.32,42.64,72.12,54.22,18.06
Maharashtra,Sugarcane,Sandy,32.15,59.53,29.59,28.59,18.89
Gujarat,Rice,Loamy,21.53,61.89,72.5,36.43,18.42
UttarPradesh,Wheat,Silty,37.3,43.81,85.39,54.98,20.73
TamilNadu,Sugarcane,Peaty,38.42,34.23,85.72,11.57,29.78
MadhyaPradesh,Wheat,Sandy,31.52,32.96,60.31,34.44,20.6
Telangana,Groundnut,Peaty,26.45,85.75,18.93,53.0,11.23
UttarPradesh,Maize,Peaty,25.04,54.01,30.77,28.22,16.95
UttarPradesh,Cotton,Silty,35.86,77.81,67.22,12.88,26.9
TamilNadu,Wheat,Sandy,37.03,55.18,32.37,41.06,18.13
Punjab,Groundnut,Loamy,20.34,46.79,83.57,32.77,19.91
TamilNadu,Maize,Peaty,24.03,43.65,97.79,35.44,21.9
TamilNadu,Pulses,Silty,39.79,40.45,21.49,46.25,16.84
AndhraPradesh,Pulses,Clay,31.81,35.5,16.51,49.19,13.36
TamilNadu,Groundnut,Clay,28.09,36.7,16.62,55.18,11.05
Bihar,Sugarcane,Sandy,20.43,36.5,83.75,56.68,15.17
Gujarat,Maize,Silty,26.46,63.11,70.92,44.7,18.09
Maharashtra,Sugarcane,Peaty,38.53,59.43,91.13,12.45,30.18
Bihar,Maize,Clay,23.08,50.89,91.98,28.45,22.43
Bihar,Cotton,Peaty,27.83,32.11,64.27,54.37,15.9
Punjab,Cotton,Silty,34.71,78.42,31.7,56.09,14.37
Karnataka,Cotton,Loamy,37.45,76.58,59.01,50.6,19.02
MadhyaPradesh,Maize,Peaty,29.88,45.87,61.87,11.62,24.83
Gujarat,Rice,Sandy,25.92,78.32,22.59,58.62,10.31
TamilNadu,Sugarcane,Peaty,39.79,52.48,99.0,49.49,23.94
MadhyaPradesh,Maize,Silty,32.99,54.43,12.51,44.84,14.18
AndhraPradesh,Sugarcane,Peaty,33.47,63.09,37.81,32.44,19.33
Bihar,Sugarcane,Clay,39.28,52.55,80.27,13.6,29.09
TamilNadu,Maize,Clay,35.24,85.21,40.95,46.7,17.33
Rajasthan,Cotton,Clay,32.51,85.9,99.81,28.02,26.13
Bihar,Cotton,Sandy,39.99,77.23,8.61,18.73,21.11
Rajasthan,Groundnut,Peaty,26.77,61.8,35.67,35.01,16.6
Maharashtra,Rice,Clay,23.47,44.0,77.02,48.39,17.06
Telangana,Sugarcane,Sandy,28.64,39.3,22.15,13.77,20.05
TamilNadu,Pulses,Peaty,24.57,41.49,5.23,30.0,13.89
Maharashtra,Sugarcane,Clay,31.23,55.94,23.22,16.13,20.46
Gujarat,Rice,Peaty,31.84,64.97,80.28,45.38,20.5
UttarPradesh,Sugarcane,Loamy,24.31,84.97,80.41,22.05,22.92
Haryana,Pulses,Peaty,27.11,37.38,75.27,17.37,24.19
Maharashtra,Cotton,Silty,23.62,73.78,67.92,51.79,15.52
Gujarat,Wheat,Silty,33.58,77.8,75.67,40.8,21.48
TamilNadu,Rice,Sandy,26.34,52.79,24.98,13.31,19.74
AndhraPradesh,Pulses,Loamy,37.41,37.63,59.85,32.49,22.71
Bihar,Cotton,Loamy,22.31,85.45,68.92,23.79,20.83
Bihar,Wheat,Clay,34.67,83.03,95.52,54.63,21.03
Maharashtra,Cotton,Peaty,27.33,79.18,56.79,29.65,19.95
AndhraPradesh,Rice,Sandy,20.29,55.63,17.19,59.75,7.86
Gujarat,Pulses,Sandy,21.98,41.75,9.76,18.91,15.79
Haryana,Wheat,Clay,36.66,31.58,63.22,46.89,19.94
AndhraPradesh,Cotton,Loamy,22.58,40.32,68.99,47.25,16.22
Gujarat,Cotton,Peaty,26.93,87.03,63.72,41.11,18.23
AndhraPradesh,Wheat,Silty,24.82,44.09,59.3,55.36,14.3
UttarPradesh,Maize,Loamy,22.87,76.63,92.79,42.65,19.61
